law~one~phenomenological	('phenomenological~law~one',)
out	('out',)
digit~out	('digit~out',)
digit~first~out	('first~digit~out',)
digit~first~law~out	('law~first~digit~out',)
benford~digit~law	('digit~law~benford',)
benford~digit~first~law	('first~digit~law~benford', 'law~first~digit~benford')
instance	('instance',)
examining	('examining',)
examining~leading	('leading~examining',)
examining~leading~phenomenon	('phenomenon~leading~examining',)
digit~examining~leading~phenomenon	('digit~phenomenon~leading~examining',)
digit~tables	('digit~tables',)
digit~leading~tables	('leading~digit~tables',)
digit~leading~phenomenon~tables	('phenomenon~leading~digit~tables',)
logarithms	('logarithms',)
noting	('noting',)
first~phenomenological	('phenomenological~first',)
pages	('pages',)
law~pages	('law~pages',)
law~pages~phenomenological	('phenomenological~law~pages',)
worn	('worn',)
first~worn	('first~worn',)
first~law~worn	('law~first~worn',)
first~law~phenomenological~worn	('phenomenological~law~first~worn',)
smudged	('smudged',)
digit~smudged	('digit~smudged',)
digit~first~smudged	('first~digit~smudged',)
digit~first~law~smudged	('law~first~digit~smudged',)
later	('later',)
later~law	('law~later',)
digit~later~law	('digit~law~later',)
digit~first~later~law	('first~digit~law~later',)
first~pages	('first~pages',)
first~law~pages	('law~first~pages',)
digit~first~law~pages	('digit~law~first~pages',)
newcomb	('newcomb',)
digit~newcomb	('digit~newcomb',)
digit~first~newcomb	('first~digit~newcomb',)
digit~first~law~newcomb	('law~first~digit~newcomb',)
benford~digit~first~phenomenon	('first~digit~phenomenon~benford',)
law~leading	('leading~law',)
law~leading~phenomenon	('phenomenon~leading~law',)
digit~law~leading~phenomenon	('digit~phenomenon~leading~law',)
unquestionably	('unquestionably',)
digit~unquestionably	('digit~unquestionably',)
digit~leading~unquestionably	('leading~digit~unquestionably',)
digit~leading~phenomenon~unquestionably	('phenomenon~leading~digit~unquestionably',)
applies	('applies',)
applies~phenomenon	('phenomenon~applies',)
applies~digit~phenomenon	('digit~phenomenon~applies',)
applies~digit~leading~phenomenon	('leading~digit~phenomenon~applies',)
many	('many',)
benford~many	('benford~many',)
benford~many~phenomenon	('phenomenon~benford~many',)
benford~digit~many~phenomenon	('digit~phenomenon~benford~many',)
situations	('situations',)
law~situations	('law~situations',)
benford~law~situations	('benford~law~situations',)
benford~law~phenomenon~situations	('phenomenon~benford~law~situations',)
real	('real',)
listings~real	('listings~real',)
law~listings~real	('law~listings~real',)
benford~law~listings~real	('benford~law~listings~real',)
world	('world',)
satisfactory	('satisfactory',)
satisfactory~statistics	('statistics~satisfactory',)
satisfactory~statistics~tables	('tables~statistics~satisfactory',)
listings~satisfactory~statistics~tables	('listings~tables~statistics~satisfactory',)
explanation	('explanation',)
etc~explanation	('etc~explanation',)
etc~explanation~statistics	('statistics~etc~explanation',)
etc~explanation~statistics~tables	('tables~statistics~etc~explanation',)
been	('been',)
been~digit	('digit~been',)
been~digit~etc	('etc~digit~been',)
been~digit~etc~statistics	('statistics~etc~digit~been',)
only	('only',)
only~tends	('tends~only',)
digit~only~tends	('digit~tends~only',)
digit~etc~only~tends	('etc~digit~tends~only',)
recently	('recently',)
probability~recently	('probability~recently',)
probability~recently~tends	('tends~probability~recently',)
digit~probability~recently~tends	('digit~tends~probability~recently',)
through	('through',)
greater~through	('greater~through',)
greater~probability~through	('probability~greater~through',)
greater~probability~tends~through	('tends~probability~greater~through',)
work	('work',)
expected~work	('expected~work',)
expected~greater~work	('greater~expected~work',)
expected~greater~probability~work	('probability~greater~expected~work',)
hill	('hill',)
hill~one	('one~hill',)
expected~hill~one	('expected~one~hill',)
expected~greater~hill~one	('greater~expected~one~hill',)
character	('character',)
character~law	('law~character',)
character~law~phenomenological	('phenomenological~law~character',)
charlie	('charlie',)
charlie~first	('first~charlie',)
charlie~first~law	('law~first~charlie',)
charlie~first~law~phenomenological	('phenomenological~law~first~charlie',)
eppes	('eppes',)
digit~eppes	('digit~eppes',)
digit~eppes~first	('first~digit~eppes',)
digit~eppes~first~law	('law~first~digit~eppes',)
analogy	('analogy',)
analogy~law	('law~analogy',)
analogy~digit~law	('digit~law~analogy',)
analogy~digit~first~law	('first~digit~law~analogy',)
help	('help',)
first~help	('first~help',)
first~help~law	('law~first~help',)
digit~first~help~law	('digit~law~first~help',)
solve	('solve',)
digit~solve	('digit~solve',)
digit~first~solve	('first~digit~solve',)
digit~first~law~solve	('law~first~digit~solve',)
series	('series',)
phenomenon~series	('phenomenon~series',)
digit~phenomenon~series	('digit~phenomenon~series',)
digit~first~phenomenon~series	('first~digit~phenomenon~series',)
high	('high',)
high~leading	('leading~high',)
high~leading~phenomenon	('phenomenon~leading~high',)
digit~high~leading~phenomenon	('digit~phenomenon~leading~high',)
burglaries	('burglaries',)
burglaries~digit	('digit~burglaries',)
burglaries~digit~leading	('leading~digit~burglaries',)
burglaries~digit~leading~phenomenon	('phenomenon~leading~digit~burglaries',)
phenomenon~season	('phenomenon~season',)
digit~phenomenon~season	('digit~phenomenon~season',)
digit~leading~phenomenon~season	('leading~digit~phenomenon~season',)
running	('running',)
phenomenological~television	('phenomenological~television',)
crime~law	('law~crime',)
crime~law~phenomenological	('phenomenological~law~crime',)
drama~first	('first~drama',)
drama~first~law	('law~first~drama',)
drama~first~law~phenomenological	('phenomenological~law~first~drama',)
applies~law	('law~applies',)
applies~law~phenomenological	('phenomenological~law~applies',)
data~first	('first~data',)
data~first~law	('law~first~data',)
data~first~law~phenomenological	('phenomenological~law~first~data',)
dimensionless	('dimensionless',)
numerical	('numerical',)
numerical~phenomenological	('phenomenological~numerical',)
depend	('depend',)
depend~digit	('digit~depend',)
depend~digit~first	('first~digit~depend',)
depend~digit~first~law	('law~first~digit~depend',)
universal	('universal',)
first~universal	('first~universal',)
first~law~universal	('law~first~universal',)
digit~first~law~universal	('digit~law~first~universal',)
digit~probability	('digit~probability',)
digit~first~probability	('first~digit~probability',)
digit~first~law~probability	('law~first~digit~probability',)
distribution~phenomenon	('phenomenon~distribution',)
digit~distribution~phenomenon	('digit~phenomenon~distribution',)
digit~distribution~first~phenomenon	('first~digit~phenomenon~distribution',)
invariant	('invariant',)
invariant~phenomenological	('phenomenological~invariant',)
under	('under',)
law~under	('law~under',)
law~phenomenological~under	('phenomenological~law~under',)
change	('change',)
change~first	('first~change',)
change~first~law	('law~first~change',)
